campaign_id,name,channel,start_date,end_date,budget,impressions,clicks,conversions,revenue
1,봄 할인 기획 2024,sms,16JAN2025,05APR2025,24041796,3286264,162253,8396,431180727
2,블프 이벤트 2025,organic,28APR2025,14MAY2025,51941359,847663,37432,1453,78197387
3,겨울 세일 2026,paid_search,10NOV2024,01DEC2024,10401699,1256967,9258,705,49768476
4,블프 프로모션 2024,social,26SEP2024,27NOV2024,90782544,703922,14579,1399,102185692
5,추석 프로모션 2025,tv,19OCT2024,10DEC2024,28181978,3884186,189247,10116,889177658
6,블프 프로모션 2026,organic,24OCT2025,07JAN2026,34951389,3165792,38878,401,28429365
7,추석 프로모션 2024,tv,03AUG2024,06SEP2024,57338625,2826120,61038,1754,99905767
8,가을 세일 2025,sms,09JUN2025,28JUN2025,67558025,204902,7251,154,16246695
9,블프 세일 2026,paid_search,04JUN2026,13JUL2026,87860965,71844,3392,384,25708185
10,봄 세일 2024,sms,12AUG2025,27AUG2025,68101829,1187289,15023,856,53951140
11,추석 할인 기획 2025,sms,15DEC2024,14FEB2025,87305239,598648,8215,677,56667765
12,겨울 이벤트 2026,sms,20JUN2025,14AUG2025,96818789,945129,33664,3922,215099500
13,봄 세일 2024,sms,16APR2026,28JUN2026,11567503,1762680,17252,1600,84088563
14,여름 이벤트 2025,social,25MAY2026,24JUN2026,95938194,1988447,29200,1122,49040764
15,블프 할인 기획 2026,email,17SEP2025,05DEC2025,42623287,515845,22300,1070,76876867
16,가을 프로모션 2024,email,05NOV2024,03JAN2025,24184188,4852290,62181,3457,257063162
17,봄 세일 2025,social,01JUN2025,21JUN2025,24725322,4836513,130200,1859,134232042
18,여름 할인 기획 2026,sms,31AUG2025,29SEP2025,82527409,1110078,11221,297,25214553
19,여름 이벤트 2024,email,11DEC2025,12FEB2026,92558879,602354,11467,949,108853116
20,가을 할인 기획 2025,email,01JAN2025,21MAR2025,59389986,4156284,29243,465,54593121
21,여름 프로모션 2026,social,19JUL2025,16OCT2025,1252216,312358,12895,381,15255460
22,신년 할인 기획 2024,social,16MAR2026,08APR2026,6576445,816813,22782,1948,193921666
23,블프 이벤트 2025,paid_search,01AUG2025,05SEP2025,3864202,3731388,130729,6834,264081286
24,블프 세일 2026,tv,06JUN2026,22AUG2026,55390719,2415536,103525,12252,463965122
25,여름 이벤트 2024,email,27SEP2025,18DEC2025,37627056,826431,40349,3729,227596840
26,신년 할인 기획 2025,paid_search,04APR2026,19MAY2026,45090878,3456746,167635,17611,2068385016
27,추석 이벤트 2026,email,23MAY2026,22JUN2026,26712124,399548,15224,987,93791850
28,겨울 할인 기획 2024,organic,18JUN2026,13SEP2026,42639109,1186716,18517,2196,150546856
29,가을 세일 2025,tv,28DEC2024,01FEB2025,76937999,200951,8116,854,80243811
30,여름 세일 2026,paid_search,09MAR2025,17APR2025,30636431,2778384,20620,1024,122360459
31,신년 세일 2024,sms,12SEP2024,02NOV2024,14294821,164282,1956,68,7696555
32,봄 세일 2025,tv,04AUG2025,29SEP2025,78062437,3478747,78973,8364,696998370
33,블프 세일 2026,social,23MAR2026,15MAY2026,37166588,3792286,32662,2665,292957401
34,봄 할인 기획 2024,social,18NOV2024,13JAN2025,46894113,4400934,161054,5692,549795512
35,봄 세일 2025,email,05JAN2025,17MAR2025,29058419,748675,14778,1593,151121583
36,겨울 할인 기획 2026,email,27FEB2025,17APR2025,22781092,4028711,166704,15364,635414600
37,블프 세일 2024,social,20NOV2024,17JAN2025,6687864,4247831,171889,9466,599063411
38,가을 이벤트 2025,email,01OCT2024,09DEC2024,9905411,286850,11508,835,89997505
39,가을 이벤트 2026,email,21FEB2026,26MAR2026,58179207,1702188,33169,3420,331941123
40,여름 이벤트 2024,tv,22MAY2026,01JUL2026,75269148,1329014,49339,3851,451603915
41,추석 프로모션 2025,social,25APR2026,09MAY2026,45444072,2779493,128301,8917,356265970
42,블프 프로모션 2026,paid_search,04NOV2024,16NOV2024,84151972,3377855,104498,2851,301255328
43,겨울 할인 기획 2024,social,27JAN2026,14APR2026,32865854,2069590,30690,1824,112888200
44,가을 이벤트 2025,organic,25JUL2024,27SEP2024,72889440,278960,7753,647,55445981
45,봄 세일 2026,social,12JUN2024,08AUG2024,43725055,1751634,20711,395,32166124
46,여름 할인 기획 2024,social,23MAY2025,17JUL2025,34142833,534723,10992,653,25816966
47,신년 이벤트 2025,paid_search,16JAN2025,03MAR2025,40878698,2500859,88895,7128,365331059
48,겨울 프로모션 2026,organic,03AUG2024,26AUG2024,71793112,4718997,102369,10546,1191794040
49,신년 할인 기획 2024,organic,17JUL2025,14SEP2025,30722170,472072,14285,724,67868752
50,겨울 프로모션 2025,paid_search,29JUL2024,15AUG2024,80779924,1022337,41408,1991,199931546
